workload,format,compression,frames,payload_bytes,fragments,deltas,payload_kbps,framed_kbps,encode_mean_us,decode_mean_us
fire,fixed-chassis-delta,zstd-retrained-3,320,582462,799,310,455.048,468.157,232.220,116.168
skirmish,json-full,none,320,14231041,14390,0,11118.001,11354.087,256.219,519.190
skirmish,binary-full,none,320,11228459,11413,0,8772.234,8959.478,555.206,553.583
skirmish,binary-delta,none,320,4975589,5154,310,3887.179,3971.737,734.693,418.649
skirmish,bit-full,none,320,10871345,11053,0,8493.238,8674.577,554.438,560.348
skirmish,bit-delta,none,320,3808741,3973,310,2975.579,3040.761,700.663,406.818
skirmish,fixed-full,none,320,8394044,8572,0,6557.847,6698.481,500.299,509.147
skirmish,fixed-delta,none,320,2124398,2268,310,1659.686,1696.895,646.037,396.514
skirmish,fixed-fine-delta,none,320,2199667,2406,310,1718.490,1757.963,658.680,391.034
skirmish,fixed-chassis-delta,none,320,2784363,2949,310,2175.284,2223.666,696.065,429.997
skirmish,json-full,deflate-1,320,4098752,4268,0,3202.150,3272.172,380.212,599.726
skirmish,json-selected,deflate-1,320,3229469,3408,310,2523.023,2578.935,1803.233,581.781
skirmish,binary-full,deflate-1,320,3785878,3962,0,2957.717,3022.719,616.743,596.148
skirmish,binary-delta,deflate-1,320,3230302,3406,310,2523.673,2579.553,866.781,469.414
skirmish,bit-full,deflate-1,320,3834040,4061,0,2995.344,3061.970,623.859,621.736
skirmish,bit-delta,deflate-1,320,2830034,2958,310,2210.964,2259.494,806.947,438.563
skirmish,fixed-full,deflate-1,320,2097618,2224,0,1638.764,1675.252,534.838,534.817
skirmish,fixed-delta,deflate-1,320,1210720,1358,310,945.875,968.155,693.789,395.678
skirmish,fixed-fine-delta,deflate-1,320,1304218,1433,310,1018.920,1042.430,759.526,446.206
skirmish,fixed-chassis-delta,deflate-1,320,1897347,2029,310,1482.302,1515.591,824.429,465.937
skirmish,json-full,zstd-3,320,3479022,3672,0,2717.986,2778.230,334.549,555.307
skirmish,json-selected,zstd-3,320,2821892,2935,310,2204.603,2252.755,1698.976,527.670
skirmish,binary-full,zstd-3,320,3487220,3702,0,2724.391,2785.127,627.805,596.606
skirmish,binary-delta,zstd-3,320,3009425,3164,310,2351.113,2403.023,843.851,448.188
skirmish,bit-full,zstd-3,320,3559980,3742,0,2781.234,2842.627,618.299,592.900
skirmish,bit-delta,zstd-3,320,2840683,2994,310,2219.284,2268.404,913.459,519.023
skirmish,fixed-full,zstd-3,320,1893952,2032,0,1479.650,1512.987,567.707,565.006
skirmish,fixed-delta,zstd-3,320,1201615,1351,310,938.762,960.927,796.235,473.064
skirmish,fixed-fine-delta,zstd-3,320,1287559,1423,310,1005.905,1029.252,781.042,466.048
skirmish,fixed-chassis-delta,zstd-3,320,1882975,2021,310,1471.074,1504.231,874.321,511.164
skirmish,json-full,zstd-dict-3,320,2913130,3106,0,2275.883,2326.841,415.385,556.796
skirmish,json-selected,zstd-dict-3,320,2682051,2853,310,2095.352,2142.159,1995.442,622.441
skirmish,binary-full,zstd-dict-3,320,3394927,3499,0,2652.287,2709.692,668.756,576.970
skirmish,binary-delta,zstd-dict-3,320,3104942,3272,310,2425.736,2479.417,921.935,440.276
skirmish,bit-full,zstd-dict-3,320,3417805,3530,0,2670.160,2728.074,636.092,558.794
skirmish,bit-delta,zstd-dict-3,320,2827084,2992,310,2208.659,2257.747,858.955,426.434
skirmish,fixed-full,zstd-dict-3,320,1731575,1900,0,1352.793,1383.965,566.934,559.245
skirmish,fixed-delta,zstd-dict-3,320,1195659,1330,310,934.109,955.929,696.047,387.459
skirmish,fixed-fine-delta,zstd-dict-3,320,1282343,1435,310,1001.830,1025.373,685.389,375.533
skirmish,fixed-chassis-delta,zstd-dict-3,320,1881513,2031,310,1469.932,1503.253,747.960,396.502
skirmish,binary-full,zstd-retrained-3,320,2893106,3102,0,2260.239,2311.131,667.302,584.490
skirmish,binary-delta,zstd-retrained-3,320,2859772,3058,68,2234.197,2284.367,917.111,545.455
skirmish,bit-full,zstd-retrained-3,320,2944307,3105,0,2300.240,2351.181,644.632,578.820
skirmish,bit-delta,zstd-retrained-3,320,2773678,2942,259,2166.936,2215.203,826.251,424.108
skirmish,fixed-full,zstd-retrained-3,320,1336756,1554,0,1044.341,1069.836,532.775,525.753
skirmish,fixed-delta,zstd-retrained-3,320,1157564,1309,277,904.347,925.823,754.397,443.146
skirmish,fixed-fine-delta,zstd-retrained-3,320,1242468,1390,308,970.678,993.483,825.117,490.400
skirmish,fixed-chassis-delta,zstd-retrained-3,320,1832132,1989,268,1431.353,1463.985,830.791,471.238
